
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State
  TCP    192.168.2.6:50176      31.13.79.53:443        TIME_WAIT       InHost      
  TCP    192.168.2.6:50177      52.229.172.222:443     ESTABLISHED     InHost      
  TCP    192.168.2.6:51629      13.107.6.254:443       ESTABLISHED     InHost      
  TCP    [::1]:49672            [::1]:49673            ESTABLISHED     InHost      
  TCP    [::1]:49673            [::1]:49672            ESTABLISHED     InHost      
  TCP    [::1]:49702            [::1]:49703            ESTABLISHED     InHost      
  TCP    [::1]:49703            [::1]:49702            ESTABLISHED     InHost      
  TCP    [::1]:49704            [::1]:49705            ESTABLISHED     InHost      
  TCP    [::1]:49705            [::1]:49704            ESTABLISHED     InHost      
  TCP    [::1]:49716            [::1]:49717            ESTABLISHED     InHost      
  TCP    [::1]:49717            [::1]:49716            ESTABLISHED     InHost      
